"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Oakland","Oakland","CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",40,7.72443546906554,99.11,6.5707,3.1028,557700,1.25272331154684,15.3941651148355,0.0531988524296216,74,0.0743288820048863,0.0421737491452467,44
"City","Tulsa","Tulsa","OK","Tulsa, OK","""Tulsa, OK""",41,4.61079493299064,83.39,3.7234,1.788,104500,0,2.45098039215686,0.0182870813397129,89.3,0.0971947618486941,0.0322960524553975,83
"City","Cleveland","Cleveland","OH","Cleveland, OH","""Cleveland-Elyria, OH""",42,0.0615017440793097,,,,53700,-0.371057513914657,-0.555555555555556,0.0184171322160149,120.6,0.358524044059576,0.0749063919149191,81.5
"City","Honolulu","Honolulu","HI","Urban Honolulu, HI","""Urban Honolulu, HI""",43,9.49880668257757,95.21,0.7245,0.2392,624100,0.321491721588169,4.31221795086077,0.0251065534369492,39.4,0.0383098284098881,0.0244829319440904,78
"City","Minneapolis","Minneapolis","MN","Minneapolis-St Paul, MN","""Minneapolis-St. Paul-Bloomington, MN-WI""",44,3.08610244171103,83.79,8.8834,3.8352,202700,0.0987654320987654,3.57690342360756,0.0246423285643809,72.9,0.147163121058489,0.0236857707693029,78
"City","Baton Rouge","Baton Rouge","LA","Baton Rouge, LA","""Baton Rouge, LA""",45,6.05379107765743,80.82,,,144100,0.769230769230769,5.41331382589612,0.0346356696738377,68.1,0.123490306758327,0.0525836427431298,88.5
"City","Arlington","Arlington","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",46,8.14026069395998,84,4.9243,3.4544,148500,0.814663951120163,14.0552995391705,0.0608552188552189,53.7,0.0526974926762858,0.032726197797077,52
"City","Raleigh","Raleigh","NC","Raleigh, NC","""Raleigh, NC""",47,6.52010280888562,77.33,4.356,2.4733,196600,0.35732516590097,4.13135593220339,0.035966429298067,31.1,0.0898927901220562,0.0341024511027355,66
"City","Wichita","Wichita","KS","Wichita, KS","""Wichita, KS""",48,6.54947677620709,81.48,,,107800,0.27906976744186,6.20689655172414,,3.1,0.11241429335938,0.0277093946944461,76
"City","Tampa","Tampa","FL","Tampa, FL","""Tampa-St. Petersburg-Clearwater, FL""",49,4.3427574811823,77.29,,,148600,1.08843537414966,9.26470588235294,0.021958277254374,114.6,0.199862949789686,0.0790238534747394,96
"City","Anaheim","Anaheim","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",50,7.01946025335047,94,5.2457,0.6074,493000,0.591715976331361,5.79399141630901,0.016628803245436,43,0.0730502729619498,0.0393474056305248,61.5
"City","Santa Ana","Santa Ana","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",51,7.31503579952267,96,4.6081,1.5132,436600,0.738347946469774,6.95737383635473,0.0196472743930372,43.5,0.104613882590132,0.0526085421295674,68
"City","Aurora","Aurora","CO","Denver, CO","""Denver-Aurora-Lakewood, CO""",52,9.35928033780062,96.63,4.4683,1.5971,234400,1.55979202772964,20.3285420944559,0.0681740614334472,57.1,0.0756760089252945,0.0162313369380413,51
"City","Saint Louis","Saint Louis","MO","St. Louis, MO","""St. Louis, MO-IL""",53,1.74683311914815,69.46,11.1958,7.428,99400,0.404040404040404,4.19287211740042,0.0227263581488935,94.8,0.285185795548191,0.0371720913952587,86
"City","Corpus Christi","Corpus Christi","TX","Corpus Christi, TX","""Corpus Christi, TX""",54,8.77363686432899,,,,129800,0.154320987654321,5.10121457489879,0.0381741140215717,47.6,0.0877150456537217,0.0178869408835734,95.5
"City","Cincinnati","Cincinnati","OH","Cincinnati, OH","""Cincinnati, OH-KY-IN""",55,2.23976500826143,71.43,,8.7366,111200,0.633484162895928,4.4131455399061,0.0314928057553956,73,0.193404778108875,0.0444564133217288,87
"City","Pittsburgh","Pittsburgh","PA","Pittsburgh, PA","""Pittsburgh, PA""",56,6.8432164494217,95.87,4.3303,4.0987,105300,0.76555023923445,4.05138339920949,0.0249762583095916,39.9,0.116798932916639,0.0282072727296491,87
"City","Riverside","Riverside","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",57,7.34073802092895,86.99,6.2792,2.2924,307600,0.588620013080445,4.98293515358362,0.0503868660598179,52.2,0.138309786919791,0.0393563603092806,69
"City","Marietta","Marietta","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",58,6.68808518450523,88.26,,,224400,0.537634408602151,6.55270655270655,0.0388101604278075,43.6,0.129315173536675,0.0244898234564885,78
"City","Anchorage","Anchorage","AK","Anchorage, AK","""Anchorage, AK""",59,7.14797136038186,86.14,,,287400,0.104493207941484,3.08464849354376,0.0514161447459986,26.3,0.134068364804187,0.00911274314776554,72
"City","Bakersfield","Bakersfield","CA","Bakersfield, CA","""Bakersfield, CA""",60,4.195887644575,83.98,9.0264,4.5588,206800,0.0968054211035818,4.44444444444444,0.0384574468085106,74.1,0.208377900589359,0.0330032988095046,76
"City","Saint Paul","Saint Paul","MN","Minneapolis-St Paul, MN","""Minneapolis-St. Paul-Bloomington, MN-WI""",61,2.99063704791628,80.09,10.3254,3.9479,166900,0.300480769230769,4.2473454091193,0.0297843019772319,87.6,0.155253658590044,0.0307711042338417,85
